comment,label
Cringe content,toxic
I learned a lot!,supportive
Worst video ever,toxic
Legend!,supportive
Clickbait title,toxic
Keep up the great work,supportive
Stop making content,toxic
This helped me a lot!,supportive
You sound horrible,toxic
Best tutorial I've seen,supportive
This is trash,toxic
This helped me a lot!,supportive
You're so dumb,toxic
You're amazing!,supportive
You're such a loser,toxic
Legend!,supportive
Can't believe people like this,toxic
So clear and helpful,supportive
Can't believe people like this,toxic
So clear and helpful,supportive
Clickbait title,toxic
So clear and helpful,supportive
You're so dumb,toxic
This helped me a lot!,supportive
You're so dumb,toxic
Much appreciated!,supportive
Cringe content,toxic
Keep up the great work,supportive
Worst video ever,toxic
Awesome explanation,supportive
You sound horrible,toxic
I learned a lot!,supportive
Worst video ever,toxic
You're amazing!,supportive
You sound horrible,toxic
You're amazing!,supportive
Waste of time,toxic
Keep up the great work,supportive
You're such a loser,toxic
Keep up the great work,supportive
Stop making content,toxic
This helped me a lot!,supportive
You're such a loser,toxic
Much appreciated!,supportive
You sound horrible,toxic
Keep up the great work,supportive
Stop making content,toxic
So clear and helpful,supportive
You're so dumb,toxic
So clear and helpful,supportive
You're so dumb,toxic
So clear and helpful,supportive
You sound horrible,toxic
Thanks for the content!,supportive
You sound horrible,toxic
Best tutorial I've seen,supportive
You sound horrible,toxic
This helped me a lot!,supportive
You're so dumb,toxic
Legend!,supportive
Can't believe people like this,toxic
I learned a lot!,supportive
Can't believe people like this,toxic
Keep up the great work,supportive
Worst video ever,toxic
Legend!,supportive
Waste of time,toxic
This helped me a lot!,supportive
Worst video ever,toxic
I learned a lot!,supportive
Cringe content,toxic
Much appreciated!,supportive
Stop making content,toxic
Awesome explanation,supportive
This is trash,toxic
Keep up the great work,supportive
Stop making content,toxic
This helped me a lot!,supportive
Stop making content,toxic
Keep up the great work,supportive
Worst video ever,toxic
Legend!,supportive
You're so dumb,toxic
So clear and helpful,supportive
Worst video ever,toxic
Awesome explanation,supportive
You sound horrible,toxic
Legend!,supportive
Waste of time,toxic
Much appreciated!,supportive
Worst video ever,toxic
So clear and helpful,supportive
You sound horrible,toxic
So clear and helpful,supportive
This is trash,toxic
Thanks for the content!,supportive
Clickbait title,toxic
This helped me a lot!,supportive
You're so dumb,toxic
Awesome explanation,supportive
